'Elapsed time','MLII','V1'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-5.955,-5.635
'0:00.003',-5.955,-5.635
'0:00.006',-5.955,-5.635
'0:00.008',-5.955,-5.635
'0:00.011',-5.955,-5.635
'0:00.014',-5.955,-5.635
'0:00.017',-5.955,-5.635
'0:00.019',-5.935,-5.635
'0:00.022',-5.935,-5.605
'0:00.025',-5.950,-5.620
'0:00.028',-5.960,-5.635
'0:00.031',-5.970,-5.670
'0:00.033',-5.995,-5.710
'0:00.036',-6.005,-5.755
'0:00.039',-6.040,-5.770
'0:00.042',-6.090,-5.785
'0:00.044',-6.130,-5.760
'0:00.047',-6.160,-5.745
'0:00.050',-6.185,-5.735
'0:00.053',-6.215,-5.735
'0:00.056',-6.205,-5.735
'0:00.058',-6.185,-5.770
'0:00.061',-6.190,-5.795
'0:00.064',-6.180,-5.800
'0:00.067',-6.170,-5.810
'0:00.069',-6.180,-5.825
'0:00.072',-6.180,-5.805
'0:00.075',-6.185,-5.805
'0:00.078',-6.185,-5.795
'0:00.081',-6.185,-5.760
'0:00.083',-6.200,-5.760
'0:00.086',-6.200,-5.765
'0:00.089',-6.235,-5.750
'0:00.092',-6.235,-5.750
'0:00.094',-6.215,-5.760
'0:00.097',-6.190,-5.760
'0:00.100',-6.175,-5.785
'0:00.103',-6.175,-5.795
'0:00.106',-6.195,-5.810
'0:00.108',-6.220,-5.800
'0:00.111',-6.220,-5.810
'0:00.114',-6.235,-5.800
'0:00.117',-6.230,-5.805
'0:00.119',-6.230,-5.815
'0:00.122',-6.225,-5.820
'0:00.125',-6.225,-5.825
'0:00.128',-6.230,-5.815
'0:00.131',-6.220,-5.800
'0:00.133',-6.225,-5.805
'0:00.136',-6.210,-5.770
'0:00.139',-6.210,-5.775
'0:00.142',-6.200,-5.780
'0:00.144',-6.185,-5.820
'0:00.147',-6.200,-5.840
'0:00.150',-6.170,-5.885
'0:00.153',-6.155,-5.965
'0:00.156',-6.115,-6.050
'0:00.158',-6.020,-6.155
'0:00.161',-5.875,-6.295
'0:00.164',-5.690,-6.450
'0:00.167',-5.515,-6.605
'0:00.169',-5.395,-6.730
'0:00.172',-5.355,-6.790
'0:00.175',-5.360,-6.730
'0:00.178',-5.350,-6.620
'0:00.181',-5.320,-6.445
'0:00.183',-5.250,-6.295
'0:00.186',-5.135,-6.160
'0:00.189',-5.010,-6.030
'0:00.192',-4.895,-5.875
'0:00.194',-4.875,-5.630
'0:00.197',-4.965,-5.315
'0:00.200',-5.260,-5.010
'0:00.203',-5.695,-4.780
'0:00.206',-6.200,-4.715
'0:00.208',-6.620,-4.820
'0:00.211',-6.910,-5.050
'0:00.214',-7.040,-5.330
'0:00.217',-7.100,-5.565
'0:00.219',-7.130,-5.730
'0:00.222',-7.170,-5.815
'0:00.225',-7.240,-5.860
'0:00.228',-7.290,-5.895
'0:00.231',-7.290,-5.920
'0:00.233',-7.260,-5.975
'0:00.236',-7.195,-6.045
'0:00.239',-7.180,-6.105
'0:00.242',-7.165,-6.125
'0:00.244',-7.145,-6.130
'0:00.247',-7.105,-6.090
'0:00.250',-7.070,-6.070
'0:00.253',-7.020,-6.085
'0:00.256',-6.920,-6.070
'0:00.258',-6.805,-6.080
'0:00.261',-6.690,-6.050
'0:00.264',-6.565,-6.040
'0:00.267',-6.455,-5.995
'0:00.269',-6.350,-5.960
'0:00.272',-6.295,-5.880
'0:00.275',-6.260,-5.820
'0:00.278',-6.270,-5.765
'0:00.281',-6.290,-5.720
'0:00.283',-6.290,-5.685
'0:00.286',-6.260,-5.685
'0:00.289',-6.215,-5.705
'0:00.292',-6.180,-5.725
'0:00.294',-6.220,-5.740
'0:00.297',-6.300,-5.730
'0:00.300',-6.350,-5.715
'0:00.303',-6.330,-5.705
'0:00.306',-6.215,-5.720
'0:00.308',-6.105,-5.755
'0:00.311',-6.080,-5.790
'0:00.314',-6.115,-5.830
'0:00.317',-6.155,-5.825
'0:00.319',-6.190,-5.840
'0:00.322',-6.200,-5.825
'0:00.325',-6.160,-5.840
'0:00.328',-6.135,-5.875
'0:00.331',-6.115,-5.895
'0:00.333',-6.130,-5.905
'0:00.336',-6.165,-5.920
'0:00.339',-6.205,-5.905
